##not find in WinOSWmiParser.xml
ProcessCommandLine,command
Channel,activityType
ServiceType,serviceType
ServiceStartType,serviceStartType
#network
dst_ip,destIpAddr,ip
src_ip,srcIpAddr,ip
dst_port,destIpPort,int
src_port,srcIpPort,int
dns_query,uriQuery
uri_query,uriQuery
parent_domain,domain
record_type,type
query,queryId
action,activityName
operation,opName
c-useragent,httpUserAgent
c-uri,httpEndUri
endpoint,targetName
service,serviceName
path,procPath
name,procName
cipher,password
request_type,type
answer,actionResult
resp_mime_types,type
message_size,msgLen,int
question_length,size,int
cs-method,httpMethod
sc-status,status
method,httpMethod
referer,httpReferrer
useragent,httpUserAgent
clientip,srcIpAddr,ip
MachineName,hostName
TargetPort,destIpPort,int
DestAddress,destIpAddr,ip
SourceIp,srcIpAddr,ip
AppName,appName
Binary,code
ClientProcessId,procId
ParentProcessId,parentProcId
Data,lineContent
State,status
Type,type
Contents,lineContent
CreationUtcTime,createTime,int
Query,queryFilter
ProviderContextName,providerName
PreviousCreationUtcTime,preTime
ErrorCode,errorCode
FileNameBuffer,fileName
ProcessNameBuffer,procName
RequestedPolicy,policyIdentity
ValidatedPolicy,recipientPolicyId
FilterOrigin,filter
Application,appName
AppID,appName
ImageName,procName
ImpersonationLevel,permissionLevelID
Name,procName
PackageFullName,procName
PackagePath,procPath
ProcessId,procId
ProcessPath,procPath
Protocol,srcProto
SidList,userId
SourceCommandLine,command
SourceHostname,srcName
TargetOutboundUserName,user
TaskContent,task
TaskContentNew,task
md5,hashMD5
param3,swParam
process,procName
sha256,hashSHA256
subjectName,subjectContainsWords
ExceptionCode,errorCode
SignatureStatus,signatureStatus
payload,dataPayload
